path	bytes	lines	commits	bug_commits	commits_per_kloc	bugs_per_kloc	bugs_per_commit	cognitive_complexity	complexity_per_kloc	fan_in	fan_out	committers
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/MetricsSnapshot.java	239	7	2	0	285.71	0.00	0.000	0	0.00	2	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/ProcessControl.java	931	24	2	0	83.33	0.00	0.000	0	0.00	4	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RealProcessControl.java	3688	87	2	0	22.99	0.00	0.000	6	68.97	2	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterAgent.java	8842	184	2	0	10.87	0.00	0.000	18	97.83	1	10	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/FirefighterController.java	1679	38	2	0	52.63	0.00	0.000	0	0.00	0	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/HealthProbe.java	3764	90	2	0	22.22	0.00	0.000	7	77.78	1	3	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaFindings.java	714	17	2	0	117.65	0.00	0.000	0	0.00	2	0	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/RestartResult.java	890	18	2	0	111.11	0.00	0.000	0	0.00	2	2	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/firefighter/GrafanaClient.java	4579	108	2	0	18.52	0.00	0.000	6	55.56	1	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/TriageController.java	1454	35	2	0	57.14	0.00	0.000	0	0.00	0	1	1
petclinic-chatbot/src/main/java/victor/training/petclinic/chatbot/triage/PetTriageAgent.java	4830	106	2	0	18.87	0.00	0.000	4	37.74	1	0	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetRepository.java	604	25	2	0	80.00	0.00	0.000	0	0.00	3	2	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/PetTypeRepository.java	422	19	2	0	105.26	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VisitRepository.java	613	24	2	0	83.33	0.00	0.000	0	0.00	3	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/SpecialtyRepository.java	529	22	2	0	90.91	0.00	0.000	0	0.00	3	1	1
petclinic-backend/src/main/java/victor/training/petclinic/repository/VetRepository.java	590	21	2	0	95.24	0.00	0.000	0	0.00	1	1	1
petclinic-backend/src/main/java/victor/training/petclinic/security/DisableSecurityConfig.java	1124	29	2	0	68.97	0.00	0.000	0	0.00	0	0	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VetMapper.java	566	21	2	0	95.24	0.00	0.000	0	0.00	1	4	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/SpecialtyMapper.java	522	19	2	0	105.26	0.00	0.000	0	0.00	3	2	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetMapper.java	1127	37	2	0	54.05	0.00	0.000	0	0.00	4	6	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/PetTypeMapper.java	628	21	2	0	95.24	0.00	0.000	0	0.00	1	3	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/UserMapper.java	308	14	2	0	142.86	0.00	0.000	0	0.00	1	2	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/OwnerMapper.java	620	22	2	0	90.91	0.00	0.000	0	0.00	1	4	1
petclinic-backend/src/main/java/victor/training/petclinic/mapper/VisitMapper.java	1098	31	2	0	64.52	0.00	0.000	0	0.00	3	4	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Vet.java	1060	46	2	0	43.48	0.00	0.000	0	0.00	3	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/User.java	738	36	2	0	55.56	0.00	0.000	1	27.78	4	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Owner.java	2645	95	2	0	21.05	0.00	0.000	1	10.53	5	1	1
petclinic-backend/src/main/java/victor/training/petclinic/domain/Role.java	549	26	2	0	76.92	0.00	0.000	0	0.00	2	1	1
petclinic-backend/src/main/java/victor/training/petclinic/rest/dto/PetTypeDto.java	450	19	2	0	105.26	0.00	0.000	0	0.00	5	0	1
